type,Tau_PT_sum,Tau_PT_dif,Tau_PT_1,Tau_PT_2,Tau_Mass_sum,Tau_Mass_dif,Tau_Mass_1,Tau_Mass_2,Tau_Ener_sum,Tau_Ener_1,Tau_Ener_2,Tau_Eta_dif,Tau_Eta_1,Tau_Eta_2,Tau_Phi_dif,Tau_Phi_1,Tau_Phi_2,Miss_MET,Jet_PT_sum,Jet_PT_dif,Jet_PT_1,Jet_PT_2,Jet_Mass_sum,Jet_Mass_dif,Jet_Mass_1,Jet_Mass_2,Jet_Ener_sum,Jet_Ener_1,Jet_Ener_2,Jet_Eta_dif,Jet_Eta_1,Jet_Eta_2,Jet_Phi_dif,Jet_Phi_1,Jet_Phi_2
1,674.657,503.833,589.245,85.4122,10.8843,9.88161,10.383,0.501347,682.14,595.675,86.4647,-0.0101697,0.146553,0.156723,-4.17864,-3.01207,1.16657,178.03,446.56,27.7486,237.154,209.405,89.4825,-0.882523,44.3,45.1825,2359.71,1337.06,1022.65,-4.68152,-2.41415,2.26738,1.06141,0.299421,-0.76199
1,429.392,162.025,295.709,133.684,69.8964,65.8296,67.863,2.03339,1159.05,789.055,369.999,3.31028,1.63348,-1.6768,-3.11648,-0.244427,2.87206,315.51,221.158,123.355,172.256,48.9014,21.2428,4.20213,12.7225,8.52032,1876.35,1318.52,557.829,-5.84944,-2.72409,3.12535,-0.851809,-1.22738,-0.375571
1,358.122,295.368,326.745,31.3773,19.3158,16.0502,17.683,1.63282,442.774,408.622,34.1521,-0.277755,-0.692363,-0.414608,-4.50133,-2.18995,2.31139,229.224,501.962,236.239,369.101,132.862,83.4345,62.4648,72.9497,10.4848,2330.16,1490.47,839.684,4.60246,2.07199,-2.53047,-1.07129,0.501598,1.57288
1,382.153,188.567,285.36,96.7933,7.13342,3.84966,5.49154,1.64188,469.927,360.994,108.933,-1.20819,-0.712697,0.495498,3.83879,3.10839,-0.730406,174.557,482.255,55.4843,268.87,213.385,86.0695,-7.32125,39.3741,46.6954,2702.7,988.631,1714.07,-4.74779,-1.97539,2.7724,1.99832,1.68631,-0.312003
1,382.41,258.987,320.699,61.7115,2.47946,-2.47944,7.62939e-06,2.47945,480.478,329.064,151.414,1.31825,-0.227916,-1.54617,-4.19026,-2.67278,1.51749,455.968,881.151,759.546,820.349,60.8027,81.8495,61.9851,71.9173,9.93221,2160.6,1396.19,764.416,4.34596,1.123,-3.22296,3.03777,0.289798,-2.74797
1,965.206,9.61356,487.41,477.796,21.2785,17.6548,19.4666,1.81189,1272.33,491.68,780.646,1.19978,0.126171,-1.07361,-2.87732,-0.678659,2.19866,36.431,259.74,71.2649,165.502,94.2375,27.959,7.52319,17.7411,10.2179,1704.24,1063.39,640.848,5.15167,2.54713,-2.60454,-3.32275,-2.75951,0.563234
1,691.149,109.054,400.101,291.047,90.5546,43.0257,66.7902,23.7645,2175.32,528.923,1646.39,3.18799,0.770001,-2.41799,2.97719,0.764965,-2.21223,50.6546,181.365,135.499,158.432,22.9334,15.6698,12.1079,13.8889,1.78092,2418,1489.93,928.075,-7.32493,-2.93142,4.39351,0.882037,-2.06378,-2.94581
1,1000.38,461.916,731.149,269.233,7.3479,-7.3479,0,7.3479,1010.54,741,269.54,-0.124751,-0.163966,-0.0392157,2.7859,1.34898,-1.43692,306.288,604.481,390.726,497.604,106.878,64.2562,45.3077,54.782,9.47426,1502.49,1133.31,369.18,-3.37359,-1.46283,1.91076,0.882515,-1.67589,-2.55841
1,1181.31,178.56,679.933,501.374,92.9431,-66.8911,13.026,79.9171,1494.64,713.87,780.77,0.69099,-0.3141,-1.00509,-3.25004,-0.710688,2.53936,244.654,256.94,45.1066,151.023,105.917,27.4759,-1.11134,13.1823,14.2936,371.986,179.45,192.536,1.80071,0.599295,-1.20142,1.2987,0.0591442,-1.23955
1,938.026,347.005,642.516,295.51,29.8525,23.9306,26.8916,2.96095,1135.34,839.63,295.711,0.799256,0.763752,-0.0355046,2.29532,1.87509,-0.420226,525.173,548.386,20.5858,284.486,263.9,112.741,8.78086,60.7608,51.98,2647.56,2067.81,579.75,-4.09078,-2.67151,1.41928,4.97045,2.93148,-2.03897
